,Neighbourhood,Venue,Venue_Category,Venue_Basic_Category,Venue_Restaurant_Count,Venue_Steakhouse_Count,Venue Latitude,Venue Longitude,Neighborhood Latitude,Neighborhood Longitude
158,Annex,Annex Billiards Club,Pool Hall,Pool,0,0,43.66553117944875,-79.40826603248938,43.670337700000005,-79.407117
159,Annex,Piano Piano,Italian Restaurant,Restaurant,1,0,43.66294872979362,-79.40289804116937,43.670337700000005,-79.407117
160,Annex,Korean Village Restaurant,Korean Restaurant,Restaurant,1,0,43.664497913032065,-79.41436726023312,43.670337700000005,-79.407117
161,Annex,The Bata Shoe Museum,Museum,Museum,0,0,43.66741594155602,-79.39996212207879,43.670337700000005,-79.407117
162,Annex,Sotto Sotto,Italian Restaurant,Restaurant,1,0,43.67363299036321,-79.39615552537904,43.670337700000005,-79.407117
163,Annex,L'Espresso Bar Mercurio,Café,Café,0,0,43.667607786430985,-79.39920107639665,43.670337700000005,-79.407117
164,Annex,New Generation Sushi,Sushi Restaurant,Restaurant,1,0,43.6655190571347,-79.40961907216216,43.670337700000005,-79.407117
165,Annex,Toronto Archives,History Museum,History,0,0,43.67644734460629,-79.40750861881347,43.670337700000005,-79.407117
166,Annex,Yummy Korean Restaurant,Korean Restaurant,Restaurant,1,0,43.664430691694356,-79.41393731132068,43.670337700000005,-79.407117
167,Annex,"Flip, Toss & Thai",Thai Restaurant,Restaurant,1,0,43.662241187899866,-79.40624978440559,43.670337700000005,-79.407117
168,Annex,Bampot,Café,Café,0,0,43.661516901580214,-79.4090529984477,43.670337700000005,-79.407117
169,Annex,Hanji,Paper / Office Supplies Store,Paper,0,0,43.66456122647888,-79.41400222886392,43.670337700000005,-79.407117
170,Annex,Bang & Olufsen Yorkville,Electronics Store,Electronics,0,0,43.6748312216317,-79.39661065707067,43.670337700000005,-79.407117
171,Annex,Put A Cone On It,Ice Cream Shop,Ice,0,0,43.664323,-79.414514,43.670337700000005,-79.407117
172,Annex,Sunrise House Korean Restaurant 해뜨는집,Korean Restaurant,Restaurant,1,0,43.66418287914217,-79.41574611551155,43.670337700000005,-79.407117
173,Annex,Pho 88,Vietnamese Restaurant,Restaurant,1,0,43.6649,-79.412861,43.670337700000005,-79.407117
174,Annex,Harbord Bakery & Calandria,Bakery,Bakery,0,0,43.662519096022976,-79.40444270567404,43.670337700000005,-79.407117
175,Annex,Pour House,Pub,Pub,0,0,43.675640867179204,-79.40382084040043,43.670337700000005,-79.407117
176,Annex,The White Brick Kitchen,American Restaurant,Restaurant,1,0,43.66429959529842,-79.41494748611514,43.670337700000005,-79.407117
177,Annex,Museum Tavern,Restaurant,Restaurant,0,0,43.668389856295185,-79.3957298399421,43.670337700000005,-79.407117
178,Annex,Aviv,Jewish Restaurant,Restaurant,1,0,43.674553,-79.409043,43.670337700000005,-79.407117
179,Annex,Harvest Kitchen,Restaurant,Restaurant,0,0,43.662713770749434,-79.40433001263669,43.670337700000005,-79.407117
180,Annex,Barrio Coreano,Mexican Restaurant,Restaurant,1,0,43.664294408144706,-79.4150189533165,43.670337700000005,-79.407117
181,Annex,Starbucks,Coffee Shop,Coffee,0,0,43.66838851306989,-79.39752062470835,43.670337700000005,-79.407117
182,Annex,Los Guacamoles,Mexican Restaurant,Restaurant,1,0,43.664751,-79.415007,43.670337700000005,-79.407117
183,Annex,Duke of York,Pub,Pub,0,0,43.669186229413306,-79.39752653692135,43.670337700000005,-79.407117
184,Banbury-Don Mills,Edwards Gardens,Park,Park,0,0,43.73357397323459,-79.35832879576286,43.734803899999996,-79.35724259999999
185,Banbury-Don Mills,Toronto Botanical Garden,Park,Park,0,0,43.73410440082706,-79.35832146261272,43.734803899999996,-79.35724259999999
186,Banbury-Don Mills,Cineplex VIP Cinemas Don Mills,Movie Theater,Movie,0,0,43.73427877090645,-79.34616425228229,43.734803899999996,-79.35724259999999
187,Banbury-Don Mills,Congee Queen 皇后名粥,Cantonese Restaurant,Restaurant,1,0,43.735977372912316,-79.34735561803191,43.734803899999996,-79.35724259999999
188,Banbury-Don Mills,Aroma Espresso Bar,Café,Café,0,0,43.73439968185306,-79.3452038090861,43.734803899999996,-79.35724259999999
189,Banbury-Don Mills,Lindt & Sprüngli,Chocolate Shop,Chocolate,0,0,43.734806,-79.34524,43.734803899999996,-79.35724259999999
190,Banbury-Don Mills,Anthropologie,Women's Store,Women's,0,0,43.73399577300591,-79.34556371609538,43.734803899999996,-79.35724259999999
191,Banbury-Don Mills,Ice 'n Cake,Ice Cream Shop,Ice,0,0,43.734292228891334,-79.34519795645626,43.734803899999996,-79.35724259999999
192,Banbury-Don Mills,TD Canada Trust,Bank,Bank,0,0,43.7334122,-79.3456392,43.734803899999996,-79.35724259999999
193,Banbury-Don Mills,Beauty Boutique by Shoppers Drug Mart,Cosmetics Shop,Cosmetics,0,0,43.73694395097221,-79.34561366431524,43.734803899999996,-79.35724259999999
194,Banbury-Don Mills,McEwan,Gourmet Shop,Gourmet,0,0,43.73625640025338,-79.34513152081716,43.734803899999996,-79.35724259999999
195,Banbury-Don Mills,Tim Hortons,Coffee Shop,Coffee,0,0,43.73514964802937,-79.35564748942846,43.734803899999996,-79.35724259999999
196,Banbury-Don Mills,Taylors Landing,American Restaurant,Restaurant,1,0,43.733985520359404,-79.34548008859929,43.734803899999996,-79.35724259999999
197,Banbury-Don Mills,LCBO,Liquor Store,Liquor,0,0,43.73632288176399,-79.34611450909887,43.734803899999996,-79.35724259999999
198,Banbury-Don Mills,Pizza Pizza,Pizza Place,Pizza,0,0,43.734579030985564,-79.34629045702412,43.734803899999996,-79.35724259999999
199,Banbury-Don Mills,Booster Juice,Juice Bar,Juice,0,0,43.734883,-79.345465,43.734803899999996,-79.35724259999999
200,Banbury-Don Mills,Glow Restaurant,American Restaurant,Restaurant,1,0,43.73422436980562,-79.34545443365278,43.734803899999996,-79.35724259999999
201,Banbury-Don Mills,Subway,Sandwich Place,Sandwich,0,0,43.735543576778454,-79.34743924790708,43.734803899999996,-79.35724259999999
202,Banbury-Don Mills,Don Mills Trail North,Trail,Trail,0,0,43.734676,-79.354866,43.734803899999996,-79.35724259999999
203,Banbury-Don Mills,Lawrence Ave E & Leslie Ave,Intersection,Intersection,0,0,43.734531281857976,-79.35562834337163,43.734803899999996,-79.35724259999999
204,Banbury-Don Mills,Cosco,Grocery Store,Grocery,0,0,43.729962621040734,-79.35301581467334,43.734803899999996,-79.35724259999999
